Country,population,phase3plus_abs,phase3plus_per,date
Eswatini,1184851.0,182554.0,0.16,2022-06-01
Eswatini,1174517.0,,,2021-11-01
Eswatini,1174517.0,261839.0,0.22,2021-08-01
Eswatini,1160362.0,347422.0,0.3,2021-01-01
Eswatini,1146903.0,330316.0,0.3,2020-06-01
Eswatini,1133522.0,204533.0,0.22,2019-06-01
Eswatini,1120092.0,,,2018-11-01
Eswatini,1120092.0,122657.0,0.11,2018-06-01
Eswatini,1106451.0,137380.0,0.15,2017-07-01
Ethiopia,114964000.0,16756345.0,0.3,2021-05-01
Ethiopia,114964000.0,5522943.0,0.61,2021-05-01
Ethiopia,114964000.0,8609537.0,0.16,2020-10-01
Ethiopia,114964000.0,8505687.0,0.21,2020-08-01
Ethiopia,112079000.0,7966980.0,0.27,2019-09-01
Guatemala,17357886.0,3927271.0,0.22,2022-04-01
Guatemala,17109746.0,3458652.0,0.2,2021-05-01
Guatemala,16858333.0,,,2020-12-01
Guatemala,16858333.0,3681608.0,0.22,2020-09-01
Guatemala,17581000.0,1046740.0,0.15,2019-12-01
Guatemala,17581000.0,2601401.0,0.16,2019-03-01
Guatemala,16736000.0,470000.0,0.1,2017-07-01
Haiti,10911819.0,4724394.0,0.48,2022-09-01
Haiti,10911819.0,,,2022-02-01
Haiti,12900000.0,4333426.0,0.44,2021-09-01
Haiti,10911819.0,3988968.0,0.41,2020-08-01
Haiti,11263000.0,3673127.0,0.35,2019-10-01
Haiti,11112945.0,2258982.0,0.33,2018-10-01
Haiti,10906004.0,1321776.0,0.18,2017-10-01
Haiti,10906004.0,2347103.0,0.31,2017-02-01
Honduras,9597739.0,2227597.0,0.24,2022-01-01
Honduras,9304380.0,2909523.0,0.31,2021-01-01
Honduras,9905000.0,,,2020-06-01
Honduras,9746000.0,963919.0,0.18,2019-11-01
Honduras,9746000.0,245929.0,0.17,2019-02-01
Honduras,9377082.0,273058.0,0.19,2018-12-01
Kenya,51525602.0,4389779.0,0.27,2023-01-01
Kenya,54986000.0,3513305.0,0.24,2022-07-01
Kenya,54986000.0,,,2022-04-01
Kenya,54986000.0,3071637.0,0.2,2022-02-01
Kenya,54986000.0,2147839.0,0.14,2021-07-01
Kenya,54986000.0,1425209.0,0.1,2021-02-01
Kenya,53771000.0,1809894.0,0.1,2020-08-01
Kenya,53771000.0,1319383.0,0.09,2020-02-01
Kenya,52574000.0,2567437.0,0.18,2019-07-01
LAC Region (tri-National),32886284.0,,,2022-06-01
LAC Region (tri-National),32886284.0,76257.0,0.15,2021-11-01
LAC Region (tri-National),32886284.0,,,2021-06-01
LAC Region (tri-National),32483755.0,102623.0,0.21,2020-10-01
LAC Region (tri-National),32077126.0,,,2020-05-01
LAC Region (tri-National),33780000.0,80484.0,0.17,2019-10-01
LAC Region (tri-National),33254000.0,93240.0,0.23,2018-11-01
LAC Region (tri-National),33254000.0,23780.0,0.07,2018-02-01
Lebanon,5800000.0,1984000.0,0.37,2022-09-01
Lesotho,2104715.0,228503.0,0.15,2022-06-01
Lesotho,2100000.0,328424.0,0.22,2021-11-01
Lesotho,2100000.0,178694.0,0.12,2021-06-01
Lesotho,2008801.0,374195.0,0.26,2020-07-01
Lesotho,2293000.0,348406.0,0.24,2019-06-01
Lesotho,2272021.0,,,2018-11-01
Lesotho,2272021.0,161136.0,0.11,2018-06-01
Lesotho,1951688.0,179042.0,0.13,2017-07-01
Madagascar,29042000.0,2225076.0,0.36,2022-11-01
Madagascar,29611714.0,190862.0,0.26,2022-07-01
Madagascar,29000000.0,1684129.0,0.32,2022-04-01
Madagascar,27891778.0,1642643.0,0.37,2021-11-01
Madagascar,25680342.0,1137633.0,0.43,2021-04-01
Madagascar,25680342.0,1062712.0,0.27,2020-11-01
Madagascar,27691000.0,,,2020-03-01
Madagascar,26969000.0,500075.0,0.14,2019-10-01
Madagascar,26969000.0,730527.0,0.21,2019-06-01
Madagascar,26262000.0,1058711.0,0.23,2018-10-01
Madagascar,26262000.0,1058589.0,0.31,2018-05-01
Madagascar,24301024.0,1289171.0,0.43,2017-10-01
Madagascar,24301024.0,1067548.0,0.36,2017-06-01
Malawi,19348953.0,2632740.0,0.14,2022-06-01
Malawi,18827607.0,1396742.0,0.07,2021-11-01
Malawi,18898441.0,1064674.0,0.06,2021-08-01
