Date of analysis,Country,Total country population,Level 1,Area,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Aug 2024,YEM,10156422,Abyan,Ahwar,2024-07-01,2024-09-30,36963,16633,0.45,9241,0.25,11089,0.3,12937,0.35,3696,0.1,0,0,2024-10-01,2025-03-31,36768,16546,0.45,9192,0.25,11030,0.3,12869,0.35,3677,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Zingibar,2024-07-01,2024-09-30,41649,20824,0.5,10412,0.25,10412,0.25,14577,0.35,6247,0.15,0,0,2024-10-01,2025-03-31,42170,21086,0.5,10543,0.25,10543,0.25,14760,0.35,6326,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Mudiyah,2024-07-01,2024-09-30,51081,25540,0.5,12770,0.25,12770,0.25,17878,0.35,7662,0.15,0,0,2024-10-01,2025-03-31,51744,25872,0.5,12936,0.25,12936,0.25,15523,0.3,10349,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Al wade'a,2024-07-01,2024-09-30,35062,15778,0.45,7012,0.2,12272,0.35,10519,0.3,5259,0.15,0,0,2024-10-01,2025-03-31,35487,17743,0.5,7097,0.2,10646,0.3,12420,0.35,5323,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Jayshan,2024-07-01,2024-09-30,22013,12108,0.55,4403,0.2,5503,0.25,7705,0.35,4403,0.2,0,0,2024-10-01,2025-03-31,21513,11833,0.55,4303,0.2,5378,0.25,7530,0.35,4303,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Sibah,2024-07-01,2024-09-30,25543,10217,0.4,7663,0.3,7663,0.3,8940,0.35,1277,0.05,0,0,2024-10-01,2025-03-31,25006,8752,0.35,7502,0.3,8752,0.35,7502,0.3,1250,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Sarar,2024-07-01,2024-09-30,22161,9972,0.45,5540,0.25,6648,0.3,7756,0.35,2216,0.1,0,0,2024-10-01,2025-03-31,22434,8974,0.4,6730,0.3,6730,0.3,7852,0.35,1122,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Khanfir,2024-07-01,2024-09-30,168776,75950,0.45,42194,0.25,50633,0.3,59072,0.35,16878,0.1,0,0,2024-10-01,2025-03-31,170996,85498,0.5,42749,0.25,42749,0.25,59849,0.35,25649,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Lawdar,2024-07-01,2024-09-30,106805,53403,0.5,26701,0.25,26701,0.25,37382,0.35,16021,0.15,0,0,2024-10-01,2025-03-31,108354,54177,0.5,27089,0.25,27089,0.25,37924,0.35,16253,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Al mahfad,2024-07-01,2024-09-30,39083,19542,0.5,7817,0.2,11725,0.3,11725,0.3,7817,0.2,0,0,2024-10-01,2025-03-31,38221,19110,0.5,7644,0.2,11466,0.3,11466,0.3,7644,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Rasad,2024-07-01,2024-09-30,79793,31918,0.4,23938,0.3,23938,0.3,27928,0.35,3990,0.05,0,0,2024-10-01,2025-03-31,78320,31328,0.4,23496,0.3,23496,0.3,27412,0.35,3916,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Hudaydah,Al khawkhah,2024-07-01,2024-09-30,126957,63478,0.5,25391,0.2,38087,0.3,38087,0.3,25391,0.2,0,0,2024-10-01,2025-03-31,128395,64197,0.5,25679,0.2,38519,0.3,44938,0.35,19259,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Hudaydah,Hays,2024-07-01,2024-09-30,45931,25262,0.55,9186,0.2,11483,0.25,16076,0.35,9186,0.2,0,0,2024-10-01,2025-03-31,80635,44349,0.55,16127,0.2,20159,0.25,28222,0.35,16127,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Hagr as sai'ar,2024-07-01,2024-09-30,4317,1295,0.3,1295,0.3,1727,0.4,1295,0.3,0,0,0,0,2024-10-01,2025-03-31,4824,1206,0.25,1688,0.35,1930,0.4,1206,0.25,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Thamud,2024-07-01,2024-09-30,8336,2918,0.35,2084,0.25,3334,0.4,2918,0.35,0,0,0,0,2024-10-01,2025-03-31,8199,2460,0.3,2460,0.3,3280,0.4,2460,0.3,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Al qatn,2024-07-01,2024-09-30,111634,44654,0.4,27909,0.25,39072,0.35,39072,0.35,5582,0.05,0,0,2024-10-01,2025-03-31,112681,45072,0.4,28170,0.25,39438,0.35,39438,0.35,5634,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Al mukalla,2024-07-01,2024-09-30,32854,11499,0.35,11499,0.35,9856,0.3,9856,0.3,1643,0.05,0,0,2024-10-01,2025-03-31,32423,12969,0.4,9727,0.3,9727,0.3,11348,0.35,1621,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Al mukalla city,2024-07-01,2024-09-30,312152,109254,0.35,109253,0.35,93646,0.3,93646,0.3,15608,0.05,0,0,2024-10-01,2025-03-31,312178,109262,0.35,109262,0.35,93653,0.3,93653,0.3,15609,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Ad dis,2024-07-01,2024-09-30,40595,14209,0.35,14208,0.35,12179,0.3,12179,0.3,2030,0.05,0,0,2024-10-01,2025-03-31,40812,14285,0.35,14284,0.35,12244,0.3,12244,0.3,2041,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Rakhyah,2024-07-01,2024-09-30,14748,5899,0.4,5162,0.35,3687,0.25,5162,0.35,737,0.05,0,0,2024-10-01,2025-03-31,14577,6560,0.45,5102,0.35,2915,0.2,5102,0.35,1458,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Al abr,2024-07-01,2024-09-30,21707,7597,0.35,5427,0.25,8683,0.4,6512,0.3,1085,0.05,0,0,2024-10-01,2025-03-31,21139,7399,0.35,5285,0.25,8456,0.4,6342,0.3,1057,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Wadi al ayn,2024-07-01,2024-09-30,49363,17277,0.35,14809,0.3,17277,0.35,14809,0.3,2468,0.05,0,0,2024-10-01,2025-03-31,49558,17345,0.35,14867,0.3,17345,0.35,14867,0.3,2478,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Ghayl ba wazir,2024-07-01,2024-09-30,85565,29948,0.35,29948,0.35,25670,0.3,25670,0.3,4278,0.05,0,0,2024-10-01,2025-03-31,84781,33912,0.4,25434,0.3,25434,0.3,33912,0.4,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Daw'an,2024-07-01,2024-09-30,75910,26569,0.35,22773,0.3,26569,0.35,22773,0.3,3796,0.05,0,0,2024-10-01,2025-03-31,76756,26865,0.35,23027,0.3,26865,0.35,23027,0.3,3838,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Ash shihr,2024-07-01,2024-09-30,130881,45808,0.35,45808,0.35,39264,0.3,39264,0.3,6544,0.05,0,0,2024-10-01,2025-03-31,132632,53053,0.4,46421,0.35,33158,0.25,46421,0.35,6632,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Shibam,2024-07-01,2024-09-30,85432,34173,0.4,21358,0.25,29901,0.35,29901,0.35,4272,0.05,0,0,2024-10-01,2025-03-31,85768,34307,0.4,21442,0.25,30019,0.35,30019,0.35,4288,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Ghayl bin yamin,2024-07-01,2024-09-30,47466,16613,0.35,11867,0.25,18986,0.4,14240,0.3,2373,0.05,0,0,2024-10-01,2025-03-31,47644,19057,0.4,11911,0.25,16675,0.35,16675,0.35,2382,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Rumah,2024-07-01,2024-09-30,11396,3419,0.3,3419,0.3,4558,0.4,3419,0.3,0,0,0,0,2024-10-01,2025-03-31,11294,3388,0.3,3388,0.3,4518,0.4,3388,0.3,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Tarim,2024-07-01,2024-09-30,176996,61949,0.35,61949,0.35,53099,0.3,53099,0.3,8850,0.05,0,0,2024-10-01,2025-03-31,179134,71654,0.4,53740,0.3,53740,0.3,71654,0.4,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,As sawm,2024-07-01,2024-09-30,21668,8667,0.4,5417,0.25,7584,0.35,7584,0.35,1083,0.05,0,0,2024-10-01,2025-03-31,21664,8665,0.4,5416,0.25,7582,0.35,7582,0.35,1083,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Zamakh wa manwakh,2024-07-01,2024-09-30,4568,1370,0.3,1370,0.3,1827,0.4,1370,0.3,0,0,0,0,2024-10-01,2025-03-31,4937,1481,0.3,1481,0.3,1975,0.4,1481,0.3,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Huraidhah,2024-07-01,2024-09-30,29681,10388,0.35,8904,0.3,10388,0.35,8904,0.3,1484,0.05,0,0,2024-10-01,2025-03-31,30330,10616,0.35,9099,0.3,10616,0.35,9099,0.3,1517,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Sah,2024-07-01,2024-09-30,41277,16511,0.4,12383,0.3,12383,0.3,14447,0.35,2064,0.05,0,0,2024-10-01,2025-03-31,40842,14295,0.35,12253,0.3,14295,0.35,14295,0.35,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Brom mayfa,2024-07-01,2024-09-30,27056,9470,0.35,9470,0.35,8117,0.3,8117,0.3,1353,0.05,0,0,2024-10-01,2025-03-31,27189,10876,0.4,8157,0.3,8157,0.3,8157,0.3,2719,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Yabuth,2024-07-01,2024-09-30,16924,5923,0.35,5077,0.3,5923,0.35,4231,0.25,1692,0.1,0,0,2024-10-01,2025-03-31,16745,6699,0.4,5024,0.3,5024,0.3,5024,0.3,1675,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Adh dhlia'ah,2024-07-01,2024-09-30,31332,14100,0.45,7833,0.25,9400,0.3,9400,0.3,4700,0.15,0,0,2024-10-01,2025-03-31,30983,12393,0.4,7746,0.25,10844,0.35,9295,0.3,3098,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Ar raydah wa qusayar,2024-07-01,2024-09-30,76627,34482,0.45,19157,0.25,22988,0.3,26819,0.35,7663,0.1,0,0,2024-10-01,2025-03-31,77084,30833,0.4,19271,0.25,26979,0.35,26979,0.35,3854,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Hajr,2024-07-01,2024-09-30,44149,17660,0.4,13245,0.3,13245,0.3,13245,0.3,4415,0.1,0,0,2024-10-01,2025-03-31,43800,17520,0.4,13140,0.3,13140,0.3,13140,0.3,4380,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Al qaf,2024-07-01,2024-09-30,3715,1300,0.35,1115,0.3,1300,0.35,1300,0.35,0,0,0,0,2024-10-01,2025-03-31,3795,1139,0.3,1139,0.3,1518,0.4,1139,0.3,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Amd,2024-07-01,2024-09-30,34551,13821,0.4,12093,0.35,8638,0.25,12093,0.35,1728,0.05,0,0,2024-10-01,2025-03-31,34149,13660,0.4,11952,0.35,8537,0.25,10245,0.3,3415,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,Sayun,2024-07-01,2024-09-30,200315,70111,0.35,70110,0.35,60095,0.3,60095,0.3,10016,0.05,0,0,2024-10-01,2025-03-31,198161,69356,0.35,69356,0.35,59448,0.3,69356,0.35,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Marib,Marib city,2024-07-01,2024-09-30,1151753,633464,0.55,230351,0.2,287938,0.25,460701,0.4,172763,0.15,0,0,2024-10-01,2025-03-31,1118829,615356,0.55,223766,0.2,279707,0.25,391590,0.35,223766,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Marib,Raghwan,2024-07-01,2024-09-30,23136,9255,0.4,5784,0.25,8098,0.35,6941,0.3,2314,0.1,0,0,2024-10-01,2025-03-31,22504,9001,0.4,5626,0.25,7876,0.35,7876,0.35,1125,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Marib,Marib,2024-07-01,2024-09-30,316229,173926,0.55,63246,0.2,79057,0.25,110680,0.35,63246,0.2,0,0,2024-10-01,2025-03-31,305967,152983,0.5,61193,0.2,91790,0.3,107088,0.35,45895,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Marib,Harib,2024-07-01,2024-09-30,132933,59820,0.45,33233,0.25,39880,0.3,39880,0.3,19940,0.15,0,0,2024-10-01,2025-03-31,131491,59171,0.45,32873,0.25,39447,0.3,39447,0.3,19724,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Socotra,Hidaybu,2024-07-01,2024-09-30,59148,14787,0.25,23659,0.4,20702,0.35,14787,0.25,0,0,0,0,2024-10-01,2025-03-31,59466,14867,0.25,23786,0.4,20813,0.35,14867,0.25,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Socotra,Qulensya wa abd al kuri,2024-07-01,2024-09-30,59147,14787,0.25,20701,0.35,23659,0.4,14787,0.25,0,0,0,0,2024-10-01,2025-03-31,59466,14867,0.25,20813,0.35,23786,0.4,14867,0.25,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Dhale'e,Ash shu'ayb,2024-07-01,2024-09-30,72785,32754,0.45,14557,0.2,25475,0.35,25475,0.35,7279,0.1,0,0,2024-10-01,2025-03-31,74647,29859,0.4,14929,0.2,29859,0.4,22394,0.3,7465,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Dhale'e,Ad dhale'e,2024-07-01,2024-09-30,110968,55484,0.5,16645,0.15,38839,0.35,33290,0.3,22194,0.2,0,0,2024-10-01,2025-03-31,155257,77628,0.5,23289,0.15,54340,0.35,46577,0.3,31051,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Dhale'e,Al hussein,2024-07-01,2024-09-30,66350,29858,0.45,13270,0.2,23223,0.35,23223,0.35,6635,0.1,0,0,2024-10-01,2025-03-31,68169,23859,0.35,13634,0.2,30676,0.45,17042,0.25,6817,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Dhale'e,Jahaf,2024-07-01,2024-09-30,48660,24330,0.5,7299,0.15,17031,0.35,14598,0.3,9732,0.2,0,0,2024-10-01,2025-03-31,48150,24075,0.5,7223,0.15,16853,0.35,14445,0.3,9630,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Dhale'e,Qa'atabah,2024-07-01,2024-09-30,135494,60973,0.45,27099,0.2,47423,0.35,33874,0.25,27099,0.2,0,0,2024-10-01,2025-03-31,139897,62954,0.45,27979,0.2,48964,0.35,48964,0.35,13990,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Dhale'e,Al azariq,2024-07-01,2024-09-30,72361,36180,0.5,7236,0.1,28944,0.4,21708,0.3,14472,0.2,0,0,2024-10-01,2025-03-31,74243,40834,0.55,7424,0.1,25985,0.35,25985,0.35,14849,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Jawf,Khabb wa ash sha'af,2024-07-01,2024-09-30,118380,65109,0.55,23676,0.2,29595,0.25,41433,0.35,23676,0.2,0,0,2024-10-01,2025-03-31,116557,64106,0.55,23311,0.2,29139,0.25,40795,0.35,23311,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Tur al bahah,2024-07-01,2024-09-30,73602,33121,0.45,14720,0.2,25761,0.35,18401,0.25,14720,0.2,0,0,2024-10-01,2025-03-31,74974,33739,0.45,14995,0.2,26241,0.35,18744,0.25,14995,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Radfan,2024-07-01,2024-09-30,70594,28238,0.4,17649,0.25,24708,0.35,17649,0.25,10589,0.15,0,0,2024-10-01,2025-03-31,71777,28711,0.4,17944,0.25,25122,0.35,21533,0.3,7178,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Al madaribah wa al arah,2024-07-01,2024-09-30,69592,38276,0.55,10439,0.15,20878,0.3,27837,0.4,10439,0.15,0,0,2024-10-01,2025-03-31,70882,35441,0.5,10632,0.15,24809,0.35,28353,0.4,7088,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Al  hawtah,2024-07-01,2024-09-30,42255,25353,0.6,8451,0.2,8451,0.2,19015,0.45,6338,0.15,0,0,2024-10-01,2025-03-31,43079,23694,0.55,8616,0.2,10770,0.25,19386,0.45,4308,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Al milah,2024-07-01,2024-09-30,43647,19641,0.45,8729,0.2,15276,0.35,13094,0.3,6547,0.15,0,0,2024-10-01,2025-03-31,45394,18157,0.4,9079,0.2,18158,0.4,13618,0.3,4539,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Halimayn,2024-07-01,2024-09-30,43781,19701,0.45,8756,0.2,15323,0.35,13134,0.3,6567,0.15,0,0,2024-10-01,2025-03-31,44490,17797,0.4,8898,0.2,17796,0.4,15572,0.35,2225,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Al maflahy,2024-07-01,2024-09-30,59725,20904,0.35,23890,0.4,14931,0.25,17918,0.3,2986,0.05,0,0,2024-10-01,2025-03-31,59279,20748,0.35,23712,0.4,14820,0.25,17784,0.3,2964,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Al qabbaytah,2024-07-01,2024-09-30,130753,65377,0.5,32688,0.25,32688,0.25,39226,0.3,26151,0.2,0,0,2024-10-01,2025-03-31,151724,60690,0.4,37931,0.25,53103,0.35,37931,0.25,22759,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Yafa'a,2024-07-01,2024-09-30,116269,40694,0.35,46508,0.4,29067,0.25,34881,0.3,5813,0.05,0,0,2024-10-01,2025-03-31,115649,40477,0.35,46260,0.4,28912,0.25,34695,0.3,5782,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Al maqatirah,2024-07-01,2024-09-30,86763,39043,0.45,26029,0.3,21691,0.25,26029,0.3,13014,0.15,0,0,2024-10-01,2025-03-31,88259,35304,0.4,26478,0.3,26478,0.3,26478,0.3,8826,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Habil jabr,2024-07-01,2024-09-30,65727,29577,0.45,19718,0.3,16432,0.25,19718,0.3,9859,0.15,0,0,2024-10-01,2025-03-31,66837,30077,0.45,20051,0.3,16709,0.25,23393,0.35,6684,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Al had,2024-07-01,2024-09-30,85289,38380,0.45,21322,0.25,25587,0.3,25587,0.3,12793,0.15,0,0,2024-10-01,2025-03-31,83612,33445,0.4,20903,0.25,29264,0.35,25084,0.3,8361,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Yahr,2024-07-01,2024-09-30,58795,20579,0.35,20578,0.35,17639,0.3,14699,0.25,5880,0.1,0,0,2024-10-01,2025-03-31,58309,20408,0.35,20408,0.35,17493,0.3,17493,0.3,2915,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Tuban,2024-07-01,2024-09-30,149022,74511,0.5,29804,0.2,44707,0.3,52158,0.35,22353,0.15,0,0,2024-10-01,2025-03-31,146785,66054,0.45,29357,0.2,51375,0.35,51375,0.35,14679,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,Al musaymir,2024-07-01,2024-09-30,37149,20432,0.55,5572,0.15,11145,0.3,13002,0.35,7430,0.2,0,0,2024-10-01,2025-03-31,48544,21844,0.45,7282,0.15,19418,0.4,16990,0.35,4854,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,Huswain,2024-07-01,2024-09-30,24227,8480,0.35,7268,0.3,8479,0.35,6057,0.25,2423,0.1,0,0,2024-10-01,2025-03-31,24545,8591,0.35,7364,0.3,8591,0.35,7364,0.3,1227,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,Hawf,2024-07-01,2024-09-30,11272,3946,0.35,3382,0.3,3945,0.35,3382,0.3,564,0.05,0,0,2024-10-01,2025-03-31,11434,4574,0.4,3430,0.3,3430,0.3,4002,0.35,572,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,Man'ar,2024-07-01,2024-09-30,10641,3724,0.35,3192,0.3,3724,0.35,2660,0.25,1064,0.1,0,0,2024-10-01,2025-03-31,10767,4307,0.4,2692,0.25,3768,0.35,3230,0.3,1077,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,Al masilah,2024-07-01,2024-09-30,20827,8331,0.4,4165,0.2,8331,0.4,6248,0.3,2083,0.1,0,0,2024-10-01,2025-03-31,21088,9490,0.45,4218,0.2,7381,0.35,7381,0.35,2109,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,Qishn,2024-07-01,2024-09-30,23563,8247,0.35,8247,0.35,7069,0.3,8247,0.35,0,0,0,0,2024-10-01,2025-03-31,23881,8358,0.35,5970,0.25,9552,0.4,8358,0.35,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,Al ghaydah,2024-07-01,2024-09-30,67621,23667,0.35,20286,0.3,23667,0.35,16905,0.25,6762,0.1,0,0,2024-10-01,2025-03-31,67405,23592,0.35,16851,0.25,26962,0.4,16851,0.25,6741,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,Shahan,2024-07-01,2024-09-30,9129,3651,0.4,2282,0.25,3195,0.35,3195,0.35,456,0.05,0,0,2024-10-01,2025-03-31,9151,4118,0.45,2288,0.25,2745,0.3,3660,0.4,458,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,Sayhut,2024-07-01,2024-09-30,24737,8658,0.35,7421,0.3,8658,0.35,7421,0.3,1237,0.05,0,0,2024-10-01,2025-03-31,24931,8726,0.35,7479,0.3,8726,0.35,8726,0.35,0,0,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,Hat,2024-07-01,2024-09-30,6039,2416,0.4,1510,0.25,2114,0.35,2114,0.35,302,0.05,0,0,2024-10-01,2025-03-31,6102,2441,0.4,1526,0.25,2136,0.35,2136,0.35,305,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Taizz,Al wazi'iyah,2024-07-01,2024-09-30,4508,2254,0.5,1127,0.25,1127,0.25,1352,0.3,902,0.2,0,0,2024-10-01,2025-03-31,5315,2658,0.5,1329,0.25,1329,0.25,1595,0.3,1063,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Taizz,Mawza,2024-07-01,2024-09-30,30573,15287,0.5,7643,0.25,7643,0.25,9172,0.3,6115,0.2,0,0,2024-10-01,2025-03-31,31390,14126,0.45,7848,0.25,9417,0.3,9417,0.3,4709,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Taizz,Al mudhaffar,2024-07-01,2024-09-30,238165,119083,0.5,59541,0.25,59541,0.25,83358,0.35,35725,0.15,0,0,2024-10-01,2025-03-31,241906,120953,0.5,60477,0.25,60477,0.25,84667,0.35,36286,0.15,0,0,,,0,,,,,,,,,,,,
