Date of analysis,Country,Total country population,Level 1,Area,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Aug 2022,YEM,31900000,Aden,Ash shaykh othman,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,202830,101500,0.5,40500,0.2,61000,0.3,61000,0.3,40500,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Aden,Dar sad,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,162317,105500,0.65,24500,0.15,32500,0.2,57000,0.35,48500,0.3,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Aden,Khur maksar,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,83973,33500,0.4,21000,0.25,29500,0.35,21000,0.25,12500,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Aden,Al mansurah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,193099,96500,0.5,48500,0.25,48500,0.25,67500,0.35,29000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,Ma'ain,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,652301,424000,0.65,98000,0.15,130500,0.2,261000,0.4,163000,0.25,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,Bani al harith,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,500631,325500,0.65,50000,0.1,125000,0.25,225500,0.45,100000,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,Ath'thaorah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,357631,178500,0.5,71500,0.2,107500,0.3,125000,0.35,53500,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,Az'zal,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,245518,135000,0.55,37000,0.15,73500,0.3,98000,0.4,37000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,At tahrir,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,134339,60500,0.45,27000,0.2,47000,0.35,40500,0.3,20000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,As sabain,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,944241,425000,0.45,189000,0.2,330500,0.35,236000,0.25,189000,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,Assafi'yah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,237962,131000,0.55,47500,0.2,59500,0.25,83500,0.35,47500,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,Old city,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,141233,63500,0.45,28000,0.2,49500,0.35,42500,0.3,21000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,Shu'aub,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,482214,289500,0.6,96500,0.2,96500,0.2,169000,0.35,120500,0.25,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Amanat Al Asimah,Al wahdah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,173344,95000,0.55,34500,0.2,43500,0.25,60500,0.35,34500,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Khanfar,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,170101,102000,0.6,34000,0.2,34000,0.2,59500,0.35,42500,0.25,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Rassd,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,77857,38500,0.5,15500,0.2,23500,0.3,27000,0.35,11500,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Sibah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,25786,14500,0.55,5000,0.2,6500,0.25,10500,0.4,4000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Al wadi,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,33639,15000,0.45,8500,0.25,10000,0.3,10000,0.3,5000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Ahwar,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,35736,23500,0.65,5500,0.15,7000,0.2,14500,0.4,9000,0.25,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Mudiyah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,50513,22500,0.45,12500,0.25,15000,0.3,15000,0.3,7500,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Jayshan,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,21157,12000,0.55,5500,0.25,4000,0.2,6500,0.3,5500,0.25,0,0,,,0,,,,,,,,,,,,
