countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
YEM,Yemen,,national,2024-11-30,SURVEY,rcsi,17940896,0.5251399512961411
YEM,Yemen,,national,2024-11-29,SURVEY,fcs,21463819,0.6282578826661381
YEM,Yemen,,national,2024-11-29,SURVEY,rcsi,17972008,0.5260506167481188
YEM,Yemen,,national,2024-11-28,SURVEY,fcs,21472381,0.6285084709566449
YEM,Yemen,,national,2024-11-28,SURVEY,rcsi,17903650,0.524049740270673
YEM,Yemen,,national,2024-11-27,SURVEY,fcs,21485208,0.628883924342879
YEM,Yemen,,national,2024-11-27,SURVEY,rcsi,17969783,0.5259854897671902
YEM,Yemen,,national,2024-11-26,SURVEY,fcs,21520966,0.6299306468606942
YEM,Yemen,,national,2024-11-26,SURVEY,rcsi,18040953,0.5280686750403085
YEM,Yemen,,national,2024-11-25,SURVEY,fcs,21567038,0.6312791102473768
YEM,Yemen,,national,2024-11-25,SURVEY,rcsi,18029025,0.5277194774877616
YEM,Yemen,,national,2024-11-24,SURVEY,fcs,21488922,0.6289926351775617
YEM,Yemen,,national,2024-11-24,SURVEY,rcsi,17928516,0.524777581847199
YEM,Yemen,,national,2024-11-23,SURVEY,fcs,21485239,0.6288848317300291
YEM,Yemen,,national,2024-11-23,SURVEY,rcsi,17801646,0.5210640267593739
YEM,Yemen,,national,2024-11-22,SURVEY,fcs,21445560,0.6277233906450206
YEM,Yemen,,national,2024-11-22,SURVEY,rcsi,17874246,0.5231890689236058
YEM,Yemen,,national,2024-11-21,SURVEY,fcs,21475352,0.6285954453421748
YEM,Yemen,,national,2024-11-21,SURVEY,rcsi,17963512,0.5258019341279079
YEM,Yemen,,national,2024-11-20,SURVEY,fcs,21411468,0.626725513747969
YEM,Yemen,,national,2024-11-20,SURVEY,rcsi,17947599,0.5253361518144172
YEM,Yemen,,national,2024-11-19,SURVEY,fcs,21335171,0.624492290385926
YEM,Yemen,,national,2024-11-19,SURVEY,rcsi,17923439,0.524628975248469
YEM,Yemen,,national,2024-11-18,SURVEY,fcs,21268060,0.6225278822508868
YEM,Yemen,,national,2024-11-18,SURVEY,rcsi,17813292,0.5214049116222478
YEM,Yemen,,national,2024-11-17,SURVEY,fcs,21259467,0.6222763716488325
YEM,Yemen,,national,2024-11-17,SURVEY,rcsi,17843422,0.5222868333909573
YEM,Yemen,,national,2024-11-16,SURVEY,fcs,21460219,0.6281524938564707
YEM,Yemen,,national,2024-11-16,SURVEY,rcsi,17823231,0.5216958316507644
YEM,Yemen,,national,2024-11-15,SURVEY,fcs,21462981,0.6282333069225776
YEM,Yemen,,national,2024-11-15,SURVEY,rcsi,17868164,0.5230110454188834
YEM,Yemen,,national,2024-11-14,SURVEY,fcs,21419495,0.6269605031307903
YEM,Yemen,,national,2024-11-14,SURVEY,rcsi,17910674,0.5242553366365348
YEM,Yemen,,national,2024-11-13,SURVEY,fcs,21355153,0.625077142543028
YEM,Yemen,,national,2024-11-13,SURVEY,rcsi,18018651,0.5274158831622547
YEM,Yemen,,national,2024-11-12,SURVEY,fcs,21310294,0.6237640833128945
YEM,Yemen,,national,2024-11-12,SURVEY,rcsi,18029415,0.5277309513971831
YEM,Yemen,,national,2024-11-11,SURVEY,fcs,21387139,0.626013411576621
YEM,Yemen,,national,2024-11-11,SURVEY,rcsi,18114639,0.5302255050253442
YEM,Yemen,,national,2024-11-10,SURVEY,fcs,21475557,0.628601498189113
YEM,Yemen,,national,2024-11-10,SURVEY,rcsi,18205577,0.5328873695601457
YEM,Yemen,,national,2024-11-09,SURVEY,fcs,21456880,0.6280547481110835
YEM,Yemen,,national,2024-11-09,SURVEY,rcsi,18120148,0.5303867565030681
YEM,Yemen,,national,2024-11-08,SURVEY,fcs,21514191,0.6297322727870379
YEM,Yemen,,national,2024-11-08,SURVEY,rcsi,18024518,0.5275876134980336
YEM,Yemen,,national,2024-11-07,SURVEY,fcs,21765396,0.6370851821102593
YEM,Yemen,,national,2024-11-07,SURVEY,rcsi,17956221,0.5255885225243346
YEM,Yemen,,national,2024-11-06,SURVEY,fcs,21555046,0.6309281212390998
YEM,Yemen,,national,2024-11-06,SURVEY,rcsi,17987578,0.5265063592618529
YEM,Yemen,,national,2024-11-05,SURVEY,fcs,21547352,0.6307029136025764
YEM,Yemen,,national,2024-11-05,SURVEY,rcsi,17991542,0.526622387734842
YEM,Yemen,,national,2024-11-04,SURVEY,fcs,21551604,0.6308273719948947
YEM,Yemen,,national,2024-11-04,SURVEY,rcsi,17978040,0.52622717672518
YEM,Yemen,,national,2024-11-03,SURVEY,fcs,21420431,0.6269878663880467
YEM,Yemen,,national,2024-11-03,SURVEY,rcsi,18002895,0.5269546963256206
