location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
YEM,True,True,Sana'A,Nihm,YE23,Sana'a,YE2303,Nihm,Yemen conflict,BA,24618,10,2016-07-31,2016-07-31
YEM,True,True,Sana'A,Nihm,YE23,Sana'a,YE2303,Nihm,Yemen conflict,BA,22854,11,2016-09-30,2016-09-30
YEM,True,True,Sana'A,Nihm,YE23,Sana'a,YE2303,Nihm,Yemen conflict,BA,13296,12,2016-12-31,2016-12-31
YEM,True,True,Sana'A,Nihm,YE23,Sana'a,YE2303,Nihm,Yemen conflict,BA,11796,13,2017-02-28,2017-02-28
YEM,True,True,Sana'A,Nihm,YE23,Sana'a,YE2303,Nihm,Yemen conflict,BA,9456,14,2017-04-30,2017-04-30
YEM,True,True,Sana'A,Nihm,YE23,Sana'a,YE2303,Nihm,Yemen conflict,BA,8862,15,2017-06-30,2017-06-30
YEM,True,True,Sana'A,Nihm,YE23,Sana'a,YE2303,Nihm,Yemen conflict,BA,8862,16,2017-09-30,2017-09-30
YEM,True,True,Sana'A,Nihm,YE23,Sana'a,YE2303,Nihm,Yemen conflict,BA,8862,32,2018-06-30,2018-06-30
YEM,True,True,Sana'A,Nihm,YE23,Sana'a,YE2303,Nihm,Yemen conflict,BA,4368,37,2018-11-30,2018-11-30
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,2700,3,2015-07-30,2015-07-30
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,2286,9,2016-06-30,2016-06-30
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,1638,10,2016-07-31,2016-07-31
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,1512,11,2016-09-30,2016-09-30
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,1356,12,2016-12-31,2016-12-31
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,1260,13,2017-02-28,2017-02-28
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,1056,14,2017-04-30,2017-04-30
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,1248,15,2017-06-30,2017-06-30
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,1248,16,2017-09-30,2017-09-30
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,1284,32,2018-06-30,2018-06-30
YEM,True,True,Al Mahwit,Shibam Kawkaban,YE27,Al Mahwit,YE2701,Shibam Kawkaban,Yemen conflict,BA,4272,37,2018-11-30,2018-11-30
