Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,SDN,47208125,Kassala,New Halfa,second projection,2024-10-01,2025-02-28,4,19330,0.05
Apr 2024,SDN,47208125,Kassala,New Halfa,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Kassala,Talkook,current,2024-04-01,2024-05-31,all,438562,1.0
Apr 2024,SDN,47208125,Kassala,Talkook,current,2024-04-01,2024-05-31,3+,175425,0.4
Apr 2024,SDN,47208125,Kassala,Talkook,current,2024-04-01,2024-05-31,1,65784,0.15
Apr 2024,SDN,47208125,Kassala,Talkook,current,2024-04-01,2024-05-31,2,197353,0.45
Apr 2024,SDN,47208125,Kassala,Talkook,current,2024-04-01,2024-05-31,3,131569,0.3
Apr 2024,SDN,47208125,Kassala,Talkook,current,2024-04-01,2024-05-31,4,43856,0.1
Apr 2024,SDN,47208125,Kassala,Talkook,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Kassala,Talkook,first projection,2024-06-01,2024-09-30,all,438562,1.0
Apr 2024,SDN,47208125,Kassala,Talkook,first projection,2024-06-01,2024-09-30,3+,219281,0.5
Apr 2024,SDN,47208125,Kassala,Talkook,first projection,2024-06-01,2024-09-30,1,43856,0.1
Apr 2024,SDN,47208125,Kassala,Talkook,first projection,2024-06-01,2024-09-30,2,175425,0.4
Apr 2024,SDN,47208125,Kassala,Talkook,first projection,2024-06-01,2024-09-30,3,131569,0.3
Apr 2024,SDN,47208125,Kassala,Talkook,first projection,2024-06-01,2024-09-30,4,87712,0.2
Apr 2024,SDN,47208125,Kassala,Talkook,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Kassala,Talkook,second projection,2024-10-01,2025-02-28,all,438562,1.0
Apr 2024,SDN,47208125,Kassala,Talkook,second projection,2024-10-01,2025-02-28,3+,175425,0.4
Apr 2024,SDN,47208125,Kassala,Talkook,second projection,2024-10-01,2025-02-28,1,65784,0.15
Apr 2024,SDN,47208125,Kassala,Talkook,second projection,2024-10-01,2025-02-28,2,197353,0.45
Apr 2024,SDN,47208125,Kassala,Talkook,second projection,2024-10-01,2025-02-28,3,131569,0.3
Apr 2024,SDN,47208125,Kassala,Talkook,second projection,2024-10-01,2025-02-28,4,43856,0.1
Apr 2024,SDN,47208125,Kassala,Talkook,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Kassala,Rural Aroma,current,2024-04-01,2024-05-31,all,164575,1.0
Apr 2024,SDN,47208125,Kassala,Rural Aroma,current,2024-04-01,2024-05-31,3+,65830,0.4
Apr 2024,SDN,47208125,Kassala,Rural Aroma,current,2024-04-01,2024-05-31,1,24686,0.15
Apr 2024,SDN,47208125,Kassala,Rural Aroma,current,2024-04-01,2024-05-31,2,74059,0.45
Apr 2024,SDN,47208125,Kassala,Rural Aroma,current,2024-04-01,2024-05-31,3,57601,0.35
Apr 2024,SDN,47208125,Kassala,Rural Aroma,current,2024-04-01,2024-05-31,4,8229,0.05
Apr 2024,SDN,47208125,Kassala,Rural Aroma,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Kassala,Rural Aroma,first projection,2024-06-01,2024-09-30,all,164575,1.0
Apr 2024,SDN,47208125,Kassala,Rural Aroma,first projection,2024-06-01,2024-09-30,3+,82288,0.5
Apr 2024,SDN,47208125,Kassala,Rural Aroma,first projection,2024-06-01,2024-09-30,1,16458,0.1
Apr 2024,SDN,47208125,Kassala,Rural Aroma,first projection,2024-06-01,2024-09-30,2,65830,0.4
Apr 2024,SDN,47208125,Kassala,Rural Aroma,first projection,2024-06-01,2024-09-30,3,65830,0.4
Apr 2024,SDN,47208125,Kassala,Rural Aroma,first projection,2024-06-01,2024-09-30,4,16458,0.1
Apr 2024,SDN,47208125,Kassala,Rural Aroma,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Kassala,Rural Aroma,second projection,2024-10-01,2025-02-28,all,164575,1.0
Apr 2024,SDN,47208125,Kassala,Rural Aroma,second projection,2024-10-01,2025-02-28,3+,57602,0.35
Apr 2024,SDN,47208125,Kassala,Rural Aroma,second projection,2024-10-01,2025-02-28,1,24686,0.15
Apr 2024,SDN,47208125,Kassala,Rural Aroma,second projection,2024-10-01,2025-02-28,2,82288,0.5
Apr 2024,SDN,47208125,Kassala,Rural Aroma,second projection,2024-10-01,2025-02-28,3,49373,0.3
Apr 2024,SDN,47208125,Kassala,Rural Aroma,second projection,2024-10-01,2025-02-28,4,8229,0.05
Apr 2024,SDN,47208125,Kassala,Rural Aroma,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Kassala,Rural  kassala,current,2024-04-01,2024-05-31,all,230179,1.0
Apr 2024,SDN,47208125,Kassala,Rural  kassala,current,2024-04-01,2024-05-31,3+,92072,0.4
Apr 2024,SDN,47208125,Kassala,Rural  kassala,current,2024-04-01,2024-05-31,1,46036,0.2
Apr 2024,SDN,47208125,Kassala,Rural  kassala,current,2024-04-01,2024-05-31,2,92072,0.4
Apr 2024,SDN,47208125,Kassala,Rural  kassala,current,2024-04-01,2024-05-31,3,80563,0.35
Apr 2024,SDN,47208125,Kassala,Rural  kassala,current,2024-04-01,2024-05-31,4,11509,0.05
Apr 2024,SDN,47208125,Kassala,Rural  kassala,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Kassala,Rural  kassala,first projection,2024-06-01,2024-09-30,all,230179,1.0
Apr 2024,SDN,47208125,Kassala,Rural  kassala,first projection,2024-06-01,2024-09-30,3+,115090,0.5
Apr 2024,SDN,47208125,Kassala,Rural  kassala,first projection,2024-06-01,2024-09-30,1,34527,0.15
Apr 2024,SDN,47208125,Kassala,Rural  kassala,first projection,2024-06-01,2024-09-30,2,80563,0.35
Apr 2024,SDN,47208125,Kassala,Rural  kassala,first projection,2024-06-01,2024-09-30,3,92072,0.4
Apr 2024,SDN,47208125,Kassala,Rural  kassala,first projection,2024-06-01,2024-09-30,4,23018,0.1
Apr 2024,SDN,47208125,Kassala,Rural  kassala,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Kassala,Rural  kassala,second projection,2024-10-01,2025-02-28,all,230179,1.0
Apr 2024,SDN,47208125,Kassala,Rural  kassala,second projection,2024-10-01,2025-02-28,3+,92072,0.4
Apr 2024,SDN,47208125,Kassala,Rural  kassala,second projection,2024-10-01,2025-02-28,1,46036,0.2
Apr 2024,SDN,47208125,Kassala,Rural  kassala,second projection,2024-10-01,2025-02-28,2,92072,0.4
Apr 2024,SDN,47208125,Kassala,Rural  kassala,second projection,2024-10-01,2025-02-28,3,80563,0.35
Apr 2024,SDN,47208125,Kassala,Rural  kassala,second projection,2024-10-01,2025-02-28,4,11509,0.05
Apr 2024,SDN,47208125,Kassala,Rural  kassala,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,current,2024-04-01,2024-05-31,all,405710,1.0
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,current,2024-04-01,2024-05-31,3+,182570,0.45
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,current,2024-04-01,2024-05-31,1,60857,0.15
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,current,2024-04-01,2024-05-31,2,162284,0.4
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,current,2024-04-01,2024-05-31,3,141999,0.35
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,current,2024-04-01,2024-05-31,4,40571,0.1
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,first projection,2024-06-01,2024-09-30,all,405710,1.0
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,first projection,2024-06-01,2024-09-30,3+,243426,0.6
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,first projection,2024-06-01,2024-09-30,1,40571,0.1
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,first projection,2024-06-01,2024-09-30,2,121713,0.3
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,first projection,2024-06-01,2024-09-30,3,162284,0.4
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,first projection,2024-06-01,2024-09-30,4,81142,0.2
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,second projection,2024-10-01,2025-02-28,all,405710,1.0
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,second projection,2024-10-01,2025-02-28,3+,223141,0.55
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,second projection,2024-10-01,2025-02-28,1,60857,0.15
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,second projection,2024-10-01,2025-02-28,2,121713,0.3
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,second projection,2024-10-01,2025-02-28,3,141999,0.35
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,second projection,2024-10-01,2025-02-28,4,81142,0.2
Apr 2024,SDN,47208125,Kassala,Hamashkoreib,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,current,2024-04-01,2024-05-31,all,125954,1.0
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,current,2024-04-01,2024-05-31,3+,37787,0.3
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,current,2024-04-01,2024-05-31,1,25191,0.2
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,current,2024-04-01,2024-05-31,2,62977,0.5
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,current,2024-04-01,2024-05-31,3,31489,0.25
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,current,2024-04-01,2024-05-31,4,6298,0.05
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,first projection,2024-06-01,2024-09-30,all,125954,1.0
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,first projection,2024-06-01,2024-09-30,3+,50381,0.4
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,first projection,2024-06-01,2024-09-30,1,18893,0.15
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,first projection,2024-06-01,2024-09-30,2,56679,0.45
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,first projection,2024-06-01,2024-09-30,3,37786,0.3
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,first projection,2024-06-01,2024-09-30,4,12595,0.1
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,second projection,2024-10-01,2025-02-28,all,125954,1.0
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,second projection,2024-10-01,2025-02-28,3+,37787,0.3
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,second projection,2024-10-01,2025-02-28,1,25191,0.2
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,second projection,2024-10-01,2025-02-28,2,62977,0.5
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,second projection,2024-10-01,2025-02-28,3,31489,0.25
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,second projection,2024-10-01,2025-02-28,4,6298,0.05
Apr 2024,SDN,47208125,Kassala,Rural West Kassala,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Kassala,Kassala,current,2024-04-01,2024-05-31,all,586321,1.0
Apr 2024,SDN,47208125,Kassala,Kassala,current,2024-04-01,2024-05-31,3+,205212,0.35
Apr 2024,SDN,47208125,Kassala,Kassala,current,2024-04-01,2024-05-31,1,117264,0.2
Apr 2024,SDN,47208125,Kassala,Kassala,current,2024-04-01,2024-05-31,2,263844,0.45
Apr 2024,SDN,47208125,Kassala,Kassala,current,2024-04-01,2024-05-31,3,175896,0.3
Apr 2024,SDN,47208125,Kassala,Kassala,current,2024-04-01,2024-05-31,4,29316,0.05
Apr 2024,SDN,47208125,Kassala,Kassala,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Kassala,Kassala,first projection,2024-06-01,2024-09-30,all,586321,1.0
Apr 2024,SDN,47208125,Kassala,Kassala,first projection,2024-06-01,2024-09-30,3+,263844,0.45
Apr 2024,SDN,47208125,Kassala,Kassala,first projection,2024-06-01,2024-09-30,1,87948,0.15
Apr 2024,SDN,47208125,Kassala,Kassala,first projection,2024-06-01,2024-09-30,2,234528,0.4
Apr 2024,SDN,47208125,Kassala,Kassala,first projection,2024-06-01,2024-09-30,3,205212,0.35
Apr 2024,SDN,47208125,Kassala,Kassala,first projection,2024-06-01,2024-09-30,4,58632,0.1
Apr 2024,SDN,47208125,Kassala,Kassala,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Kassala,Kassala,second projection,2024-10-01,2025-02-28,all,586321,1.0
Apr 2024,SDN,47208125,Kassala,Kassala,second projection,2024-10-01,2025-02-28,3+,234528,0.4
Apr 2024,SDN,47208125,Kassala,Kassala,second projection,2024-10-01,2025-02-28,1,117264,0.2
Apr 2024,SDN,47208125,Kassala,Kassala,second projection,2024-10-01,2025-02-28,2,234528,0.4
Apr 2024,SDN,47208125,Kassala,Kassala,second projection,2024-10-01,2025-02-28,3,205212,0.35
Apr 2024,SDN,47208125,Kassala,Kassala,second projection,2024-10-01,2025-02-28,4,29316,0.05
Apr 2024,SDN,47208125,Kassala,Kassala,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,current,2024-04-01,2024-05-31,all,11770,1.0
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,current,2024-04-01,2024-05-31,3+,7652,0.65
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,current,2024-04-01,2024-05-31,1,1177,0.1
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,current,2024-04-01,2024-05-31,2,2943,0.25
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,current,2024-04-01,2024-05-31,3,4120,0.35
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,current,2024-04-01,2024-05-31,4,2943,0.25
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,current,2024-04-01,2024-05-31,5,589,0.05
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,first projection,2024-06-01,2024-09-30,all,11770,1.0
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,first projection,2024-06-01,2024-09-30,3+,8828,0.75
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,first projection,2024-06-01,2024-09-30,1,589,0.05
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,first projection,2024-06-01,2024-09-30,2,2354,0.2
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,first projection,2024-06-01,2024-09-30,3,4708,0.4
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,first projection,2024-06-01,2024-09-30,4,3531,0.3
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,first projection,2024-06-01,2024-09-30,5,589,0.05
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,second projection,2024-10-01,2025-02-28,all,11770,1.0
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,second projection,2024-10-01,2025-02-28,3+,7063,0.6
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,second projection,2024-10-01,2025-02-28,1,1177,0.1
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,second projection,2024-10-01,2025-02-28,2,3531,0.3
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,second projection,2024-10-01,2025-02-28,3,4120,0.35
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,second projection,2024-10-01,2025-02-28,4,2943,0.25
Apr 2024,SDN,47208125,North Kordofan,Sheikan Refugees,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",current,2024-04-01,2024-05-31,all,581107,1.0
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",current,2024-04-01,2024-05-31,3+,261498,0.45
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",current,2024-04-01,2024-05-31,1,87166,0.15
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",current,2024-04-01,2024-05-31,2,232443,0.4
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",current,2024-04-01,2024-05-31,3,174332,0.3
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",current,2024-04-01,2024-05-31,4,87166,0.15
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",first projection,2024-06-01,2024-09-30,all,581107,1.0
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",first projection,2024-06-01,2024-09-30,3+,319608,0.55
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",first projection,2024-06-01,2024-09-30,1,58111,0.1
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",first projection,2024-06-01,2024-09-30,2,203387,0.35
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",first projection,2024-06-01,2024-09-30,3,203387,0.35
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",first projection,2024-06-01,2024-09-30,4,116221,0.2
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",second projection,2024-10-01,2025-02-28,all,581107,1.0
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",second projection,2024-10-01,2025-02-28,3+,232443,0.4
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",second projection,2024-10-01,2025-02-28,1,116221,0.2
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",second projection,2024-10-01,2025-02-28,2,232443,0.4
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",second projection,2024-10-01,2025-02-28,3,174332,0.3
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",second projection,2024-10-01,2025-02-28,4,58111,0.1
Apr 2024,SDN,47208125,North Kordofan,"Bara, Gharb Bara, Um Dam Haj Ahmed",second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,current,2024-04-01,2024-05-31,all,551361,1.0
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,current,2024-04-01,2024-05-31,3+,192976,0.35
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,current,2024-04-01,2024-05-31,1,137840,0.25
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,current,2024-04-01,2024-05-31,2,220544,0.4
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,current,2024-04-01,2024-05-31,3,137840,0.25
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,current,2024-04-01,2024-05-31,4,55136,0.1
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,first projection,2024-06-01,2024-09-30,all,551361,1.0
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,first projection,2024-06-01,2024-09-30,3+,248112,0.45
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,first projection,2024-06-01,2024-09-30,1,110272,0.2
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,first projection,2024-06-01,2024-09-30,2,192976,0.35
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,first projection,2024-06-01,2024-09-30,3,165408,0.3
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,first projection,2024-06-01,2024-09-30,4,82704,0.15
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,second projection,2024-10-01,2025-02-28,all,551361,1.0
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,second projection,2024-10-01,2025-02-28,3+,192976,0.35
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,second projection,2024-10-01,2025-02-28,1,137840,0.25
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,second projection,2024-10-01,2025-02-28,2,220544,0.4
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,second projection,2024-10-01,2025-02-28,3,137840,0.25
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,second projection,2024-10-01,2025-02-28,4,55136,0.1
Apr 2024,SDN,47208125,North Kordofan,Gebrat al sheikh & Soudari,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,North Kordofan,Sheikan,current,2024-04-01,2024-05-31,all,564440,1.0
Apr 2024,SDN,47208125,North Kordofan,Sheikan,current,2024-04-01,2024-05-31,3+,282220,0.5
Apr 2024,SDN,47208125,North Kordofan,Sheikan,current,2024-04-01,2024-05-31,1,84666,0.15
Apr 2024,SDN,47208125,North Kordofan,Sheikan,current,2024-04-01,2024-05-31,2,197554,0.35
Apr 2024,SDN,47208125,North Kordofan,Sheikan,current,2024-04-01,2024-05-31,3,169332,0.3
Apr 2024,SDN,47208125,North Kordofan,Sheikan,current,2024-04-01,2024-05-31,4,112888,0.2
Apr 2024,SDN,47208125,North Kordofan,Sheikan,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,North Kordofan,Sheikan,first projection,2024-06-01,2024-09-30,all,564440,1.0
Apr 2024,SDN,47208125,North Kordofan,Sheikan,first projection,2024-06-01,2024-09-30,3+,338664,0.6
Apr 2024,SDN,47208125,North Kordofan,Sheikan,first projection,2024-06-01,2024-09-30,1,56444,0.1
Apr 2024,SDN,47208125,North Kordofan,Sheikan,first projection,2024-06-01,2024-09-30,2,169332,0.3
Apr 2024,SDN,47208125,North Kordofan,Sheikan,first projection,2024-06-01,2024-09-30,3,197554,0.35
Apr 2024,SDN,47208125,North Kordofan,Sheikan,first projection,2024-06-01,2024-09-30,4,141110,0.25
Apr 2024,SDN,47208125,North Kordofan,Sheikan,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,North Kordofan,Sheikan,second projection,2024-10-01,2025-02-28,all,564440,1.0
Apr 2024,SDN,47208125,North Kordofan,Sheikan,second projection,2024-10-01,2025-02-28,3+,282220,0.5
Apr 2024,SDN,47208125,North Kordofan,Sheikan,second projection,2024-10-01,2025-02-28,1,56444,0.1
Apr 2024,SDN,47208125,North Kordofan,Sheikan,second projection,2024-10-01,2025-02-28,2,225776,0.4
Apr 2024,SDN,47208125,North Kordofan,Sheikan,second projection,2024-10-01,2025-02-28,3,169332,0.3
Apr 2024,SDN,47208125,North Kordofan,Sheikan,second projection,2024-10-01,2025-02-28,4,112888,0.2
Apr 2024,SDN,47208125,North Kordofan,Sheikan,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",current,2024-04-01,2024-05-31,all,591914,1.0
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",current,2024-04-01,2024-05-31,3+,236766,0.4
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",current,2024-04-01,2024-05-31,1,118383,0.2
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",current,2024-04-01,2024-05-31,2,236766,0.4
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",current,2024-04-01,2024-05-31,3,147979,0.25
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",current,2024-04-01,2024-05-31,4,88787,0.15
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",first projection,2024-06-01,2024-09-30,all,591914,1.0
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",first projection,2024-06-01,2024-09-30,3+,295957,0.5
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",first projection,2024-06-01,2024-09-30,1,88787,0.15
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",first projection,2024-06-01,2024-09-30,2,207170,0.35
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",first projection,2024-06-01,2024-09-30,3,177574,0.3
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",first projection,2024-06-01,2024-09-30,4,118383,0.2
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",second projection,2024-10-01,2025-02-28,all,591914,1.0
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",second projection,2024-10-01,2025-02-28,3+,266362,0.45
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",second projection,2024-10-01,2025-02-28,1,118383,0.2
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",second projection,2024-10-01,2025-02-28,2,207170,0.35
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",second projection,2024-10-01,2025-02-28,3,147979,0.25
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",second projection,2024-10-01,2025-02-28,4,118383,0.2
Apr 2024,SDN,47208125,North Kordofan,"Ar rahad, Um Rawaba",second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,West Darfur,W.Darfur IDPs,current,2024-04-01,2024-05-31,all,208053,1.0
Apr 2024,SDN,47208125,West Darfur,W.Darfur IDPs,current,2024-04-01,2024-05-31,3+,135234,0.65
Apr 2024,SDN,47208125,West Darfur,W.Darfur IDPs,current,2024-04-01,2024-05-31,1,20805,0.1
Apr 2024,SDN,47208125,West Darfur,W.Darfur IDPs,current,2024-04-01,2024-05-31,2,52013,0.25
Apr 2024,SDN,47208125,West Darfur,W.Darfur IDPs,current,2024-04-01,2024-05-31,3,83221,0.4
Apr 2024,SDN,47208125,West Darfur,W.Darfur IDPs,current,2024-04-01,2024-05-31,4,52013,0.25
Apr 2024,SDN,47208125,West Darfur,W.Darfur IDPs,current,2024-04-01,2024-05-31,5,0,0
