Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,current,2024-04-01,2024-05-31,2,13514,0.3
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,current,2024-04-01,2024-05-31,3,13514,0.3
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,current,2024-04-01,2024-05-31,4,9009,0.2
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,current,2024-04-01,2024-05-31,5,2252,0.05
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,first projection,2024-06-01,2024-09-30,all,45046,1.0
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,first projection,2024-06-01,2024-09-30,3+,27028,0.6
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,first projection,2024-06-01,2024-09-30,1,2252,0.05
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,first projection,2024-06-01,2024-09-30,2,15766,0.35
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,first projection,2024-06-01,2024-09-30,3,13514,0.3
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,first projection,2024-06-01,2024-09-30,4,11262,0.25
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,first projection,2024-06-01,2024-09-30,5,2252,0.05
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,second projection,2024-10-01,2025-02-28,all,45046,1.0
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,second projection,2024-10-01,2025-02-28,3+,20271,0.45
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,second projection,2024-10-01,2025-02-28,1,4505,0.1
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,second projection,2024-10-01,2025-02-28,2,20271,0.45
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,second projection,2024-10-01,2025-02-28,3,11262,0.25
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,second projection,2024-10-01,2025-02-28,4,9009,0.2
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan refugees,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,current,2024-04-01,2024-05-31,all,57375,1.0
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,current,2024-04-01,2024-05-31,3+,34425,0.6
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,current,2024-04-01,2024-05-31,1,5738,0.1
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,current,2024-04-01,2024-05-31,2,17213,0.3
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,current,2024-04-01,2024-05-31,3,20081,0.35
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,current,2024-04-01,2024-05-31,4,11475,0.2
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,current,2024-04-01,2024-05-31,5,2869,0.05
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,first projection,2024-06-01,2024-09-30,all,57375,1.0
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,first projection,2024-06-01,2024-09-30,3+,40163,0.7
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,first projection,2024-06-01,2024-09-30,1,2869,0.05
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,first projection,2024-06-01,2024-09-30,2,14344,0.25
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,first projection,2024-06-01,2024-09-30,3,22950,0.4
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,first projection,2024-06-01,2024-09-30,4,14344,0.25
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,first projection,2024-06-01,2024-09-30,5,2869,0.05
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,second projection,2024-10-01,2025-02-28,all,57375,1.0
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,second projection,2024-10-01,2025-02-28,3+,31557,0.55
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,second projection,2024-10-01,2025-02-28,1,5738,0.1
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,second projection,2024-10-01,2025-02-28,2,20081,0.35
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,second projection,2024-10-01,2025-02-28,3,17213,0.3
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,second projection,2024-10-01,2025-02-28,4,14344,0.25
Apr 2024,SDN,47208125,South Kordofan,IDPs in Kadugli,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,current,2024-04-01,2024-05-31,all,103982,1.0
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,current,2024-04-01,2024-05-31,3+,51991,0.5
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,current,2024-04-01,2024-05-31,1,20796,0.2
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,current,2024-04-01,2024-05-31,2,31195,0.3
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,current,2024-04-01,2024-05-31,3,41593,0.4
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,current,2024-04-01,2024-05-31,4,10398,0.1
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,first projection,2024-06-01,2024-09-30,all,103982,1.0
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,first projection,2024-06-01,2024-09-30,3+,57190,0.55
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,first projection,2024-06-01,2024-09-30,1,15597,0.15
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,first projection,2024-06-01,2024-09-30,2,31195,0.3
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,first projection,2024-06-01,2024-09-30,3,36394,0.35
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,first projection,2024-06-01,2024-09-30,4,20796,0.2
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,second projection,2024-10-01,2025-02-28,all,103982,1.0
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,second projection,2024-10-01,2025-02-28,3+,41593,0.4
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,second projection,2024-10-01,2025-02-28,1,20796,0.2
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,second projection,2024-10-01,2025-02-28,2,41593,0.4
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,second projection,2024-10-01,2025-02-28,3,31195,0.3
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,second projection,2024-10-01,2025-02-28,4,10398,0.1
Apr 2024,SDN,47208125,South Kordofan,Abu kershola,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Al quoz,current,2024-04-01,2024-05-31,all,135960,1.0
Apr 2024,SDN,47208125,South Kordofan,Al quoz,current,2024-04-01,2024-05-31,3+,74778,0.55
Apr 2024,SDN,47208125,South Kordofan,Al quoz,current,2024-04-01,2024-05-31,1,13596,0.1
Apr 2024,SDN,47208125,South Kordofan,Al quoz,current,2024-04-01,2024-05-31,2,47586,0.35
Apr 2024,SDN,47208125,South Kordofan,Al quoz,current,2024-04-01,2024-05-31,3,61182,0.45
Apr 2024,SDN,47208125,South Kordofan,Al quoz,current,2024-04-01,2024-05-31,4,13596,0.1
Apr 2024,SDN,47208125,South Kordofan,Al quoz,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Al quoz,first projection,2024-06-01,2024-09-30,all,135960,1.0
Apr 2024,SDN,47208125,South Kordofan,Al quoz,first projection,2024-06-01,2024-09-30,3+,88374,0.65
Apr 2024,SDN,47208125,South Kordofan,Al quoz,first projection,2024-06-01,2024-09-30,1,13596,0.1
Apr 2024,SDN,47208125,South Kordofan,Al quoz,first projection,2024-06-01,2024-09-30,2,33990,0.25
Apr 2024,SDN,47208125,South Kordofan,Al quoz,first projection,2024-06-01,2024-09-30,3,61182,0.45
Apr 2024,SDN,47208125,South Kordofan,Al quoz,first projection,2024-06-01,2024-09-30,4,27192,0.2
Apr 2024,SDN,47208125,South Kordofan,Al quoz,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Al quoz,second projection,2024-10-01,2025-02-28,all,135960,1.0
Apr 2024,SDN,47208125,South Kordofan,Al quoz,second projection,2024-10-01,2025-02-28,3+,61182,0.45
Apr 2024,SDN,47208125,South Kordofan,Al quoz,second projection,2024-10-01,2025-02-28,1,13596,0.1
Apr 2024,SDN,47208125,South Kordofan,Al quoz,second projection,2024-10-01,2025-02-28,2,61182,0.45
Apr 2024,SDN,47208125,South Kordofan,Al quoz,second projection,2024-10-01,2025-02-28,3,47586,0.35
Apr 2024,SDN,47208125,South Kordofan,Al quoz,second projection,2024-10-01,2025-02-28,4,13596,0.1
Apr 2024,SDN,47208125,South Kordofan,Al quoz,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,current,2024-04-01,2024-05-31,all,88921,1.0
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,current,2024-04-01,2024-05-31,3+,22230,0.25
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,current,2024-04-01,2024-05-31,1,26676,0.3
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,current,2024-04-01,2024-05-31,2,40014,0.45
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,current,2024-04-01,2024-05-31,3,22230,0.25
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,current,2024-04-01,2024-05-31,4,0,0
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,first projection,2024-06-01,2024-09-30,all,88921,1.0
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,first projection,2024-06-01,2024-09-30,3+,31122,0.35
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,first projection,2024-06-01,2024-09-30,1,22230,0.25
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,first projection,2024-06-01,2024-09-30,2,35568,0.4
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,first projection,2024-06-01,2024-09-30,3,26676,0.3
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,first projection,2024-06-01,2024-09-30,4,4446,0.05
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,second projection,2024-10-01,2025-02-28,all,88921,1.0
