Country,population,phase3plus_abs,phase3plus_per,date,Analysis Period,end_date,country_code
Guatemala,17581000.0,2601401.0,0.16,2019-03-01,Nov 2018 - Feb 2019,2019-02-01,GTM
Guatemala,16736000.0,470000.0,0.1,2017-07-01,Jul 2017 - Jul 2017,2017-07-01,GTM
Haiti,10911819.0,4724394.0,0.48,2022-09-01,Sep 2022 - Feb 2023,2023-02-01,HTI
Haiti,10911819.0,,,2022-02-01,,,HTI
Haiti,12900000.0,4333426.0,0.44,2021-09-01,Sep 2021 - Feb 2022,2022-02-01,HTI
Haiti,10911819.0,3988968.0,0.41,2020-08-01,Aug 2020 - Feb 2021,2021-02-01,HTI
Haiti,11263000.0,3673127.0,0.35,2019-10-01,Oct 2019 - Feb 2020,2020-02-01,HTI
Haiti,11112945.0,2258982.0,0.33,2018-10-01,Oct 2018 - Feb 2019,2019-02-01,HTI
Haiti,10906004.0,1321776.0,0.18,2017-10-01,Oct 2017 - Feb 2018,2018-02-01,HTI
Haiti,10906004.0,2347103.0,0.31,2017-02-01,Feb 2017 - May 2017,2017-05-01,HTI
Honduras,9597739.0,2227597.0,0.24,2022-01-01,Dec 2021 - Feb 2022,2022-02-01,HND
Honduras,9304380.0,2909523.0,0.31,2021-01-01,Dec 2020 - Mar 2021,2021-03-01,HND
Honduras,9905000.0,,,2020-06-01,,,HND
Honduras,9746000.0,963919.0,0.18,2019-11-01,Nov 2019 - Feb 2020,2020-02-01,HND
Honduras,9746000.0,245929.0,0.17,2019-02-01,Dec 2018 - Feb 2019,2019-02-01,HND
Honduras,9377082.0,273058.0,0.19,2018-12-01,Dec 2018 - Feb 2019,2019-02-01,HND
Kenya,51525602.0,4389779.0,0.27,2023-01-01,Feb 2023 - Feb 2023,2023-02-01,KEN
Kenya,54986000.0,3513305.0,0.24,2022-07-01,Jul 2022 - Sep 2022,2022-09-01,KEN
Kenya,54986000.0,,,2022-04-01,,,KEN
Kenya,54986000.0,3071637.0,0.2,2022-02-01,Feb 2022 - Feb 2022,2022-02-01,KEN
Kenya,54986000.0,2147839.0,0.14,2021-07-01,Jul 2021 - Oct 2021,2021-10-01,KEN
Kenya,54986000.0,1425209.0,0.1,2021-02-01,Feb 2021 - Feb 2021,2021-02-01,KEN
Kenya,53771000.0,1809894.0,0.1,2020-08-01,Aug 2020 - Sep 2020,2020-09-01,KEN
Kenya,53771000.0,1319383.0,0.09,2020-02-01,Feb 2020 - Mar 2020,2020-03-01,KEN
Kenya,52574000.0,2567437.0,0.18,2019-07-01,Jul 2019 - Jul 2019,2019-07-01,KEN
Lebanon,5800000.0,1984000.0,0.37,2022-09-01,Sep 2022 - Dec 2022,2022-12-01,LBN
