id,operation,admin0Name,admin0Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,year
8846,Darfur conflict,Sudan,SDN,2042896,2018-08-30,2018,8,70,BA,2018
10565,Darfur conflict,Sudan,SDN,2086934,2019-10-30,2019,10,0,BA,2019
8847,Darfur conflict,Sudan,SDN,2399433,2020-01-30,2020,1,1,BA,2020
8849,Darfur conflict,Sudan,SDN,3086553,2021-12-31,2021,12,3,BA,2021
8851,Darfur conflict,Sudan,SDN,3779487,2022-03-30,2022,3,5,BA,2022
8889,Armed Clashes in Sudan,Sudan,SDN,5424772,2023-12-06,2023,12,31,BA,2023
10577,Armed Clashes in Sudan (Overview),Sudan,SDN,11519598,2024-12-03,2024,12,17,BA,2024
8852,Yemen conflict,Yemen,YEM,1267590,2015-07-30,2015,7,3,BA,2015
8856,Yemen conflict,Yemen,YEM,2025060,2016-12-31,2016,12,12,BA,2016
8863,Yemen conflict,Yemen,YEM,761214,2017-12-31,2017,12,26,BA,2017
8870,Yemen conflict,Yemen,YEM,3647250,2018-11-30,2018,11,37,BA,2018
8871,Yemen conflict,Yemen,YEM,2302346,2022-11-30,2022,11,38,BA,2022
8872,Yemen conflict,Yemen,YEM,2791603,2023-09-30,2023,9,39,BA,2023
