id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,admin2,fatalities,event_id_cnty
519592,Armed Clashes in Sudan (Overview),Sudan,SDN,White Nile,SD09,Rabak,SD09046,144936,2024-12-17T00:00:00,2024,12,18,BA,Rabak,6,20
519593,Armed Clashes in Sudan (Overview),Sudan,SDN,White Nile,SD09,Kosti,SD09047,160638,2024-12-17T00:00:00,2024,12,18,BA,Kosti,30,43
519594,Armed Clashes in Sudan (Overview),Sudan,SDN,White Nile,SD09,Tendalti,SD09048,15547,2024-12-17T00:00:00,2024,12,18,BA,Tendalti,18,9
519595,Armed Clashes in Sudan (Overview),Sudan,SDN,White Nile,SD09,As Salam/Ar Rawat,SD09049,51602,2024-12-17T00:00:00,2024,12,18,BA,As Salam/Ar Rawat,0,2
519596,Armed Clashes in Sudan (Overview),Sudan,SDN,White Nile,SD09,Al Gitaina,SD09050,26985,2024-12-17T00:00:00,2024,12,18,BA,Al Gitaina,64,87
519597,Armed Clashes in Sudan (Overview),Sudan,SDN,White Nile,SD09,Aj Jabalain,SD09051,138913,2024-12-17T00:00:00,2024,12,18,BA,Aj Jabalain,24,24
519599,Armed Clashes in Sudan (Overview),Sudan,SDN,Red Sea,SD10,Dordieb,SD10063,2345,2024-12-17T00:00:00,2024,12,18,BA,Dordieb,0,1
519600,Armed Clashes in Sudan (Overview),Sudan,SDN,Red Sea,SD10,Port Sudan,SD10064,236698,2024-12-17T00:00:00,2024,12,18,BA,Port Sudan,1,117
519601,Armed Clashes in Sudan (Overview),Sudan,SDN,Red Sea,SD10,Tawkar,SD10065,11010,2024-12-17T00:00:00,2024,12,18,BA,Tawkar,0,2
519603,Armed Clashes in Sudan (Overview),Sudan,SDN,Red Sea,SD10,Jubayt Elmaaadin,SD10067,346,2024-12-17T00:00:00,2024,12,18,BA,Jubayt Elmaaadin,6,1
